"SITENAME","Year","per_C","error_C","per_H","error_H","per_N","error_N","per_P","error_P"
"SRS1d","2008",34.4875,0.381317992570942,2.6675,0.0193076787401628,2.5025,0.0394529651399402,0.029245946875,8.02400948187894e-05
"SRS1d","2009",34.8733333333333,0.0703822945980243,3.37,0.00971264701214714,2.93333333333333,0.00443626698683747,0.0464681627446627,0.00051454100858609
"SRS1d","2010",35.6225,0.730206844657627,NA,0,2.89,0.0792411929911878,0.0433796903896104,0.000148419864445758
"SRS1d","2011",NA,0,NA,0,NA,0,0.0180846262801932,0.000457234943841744
"SRS1d","2012",29.3266666666667,0.996449871132017,2.97333333333333,0.140976532501156,2.28333333333333,0.104776363841055,0.0220669264550265,0.00105013014633845
"SRS1d","2013",30.725,0.498235532487732,2.76,0.0515529662903439,2.365,0.0531281861789641,0.0303977234848485,0.00055928513985465
"SRS1d","2014",25.845,0.188150261316144,2.8875,0.0472303199756258,1.975,0.0326135835708579,0.036275284233481,0.00102945257325378
"SRS1d","2015",31.2725,0.609174710674204,1.95,0.0232692572578785,2.445,0.0651352759007488,0.0274193033055556,0.000972678544548568
"SRS1d","2016",22.7633333333333,0.218804270163942,2.23,0.038490017945975,1.69666666666667,0.0255374331879138,0.026225144984127,0.000842391428382952
"SRS1d","2017a",42.0866666666667,0.677284884531476,2.64,0.0202758751009941,3.48,0.0721110255092798,NA,NA
"SRS1d","2017b",26.8433333333333,1.88256424807977,2.37,0.208513255640446,2.01666666666667,0.224334406469284,NA,NA
"SRS1d","2018",43.2333333333333,0.171281480840785,4.17333333333333,0.0916986476198458,3.56,0.010137937550497,0.0406604661172161,0.000241354149120039
"SRS1d","2019",21.9233333333333,0.505690153022775,1.81666666666667,0.110572304705569,1.26666666666667,0.063350387567388,0.024843875529414,0.00122999435670074
"SRS1d","2020",26.2066666666667,0.926224081625346,2.64,0.156666666666667,1.9,0.109176208234415,0.0217235703801475,0.00151448847083926
"SRS1d","2021",28.6833333333333,0.236880445961697,2.98333333333333,0.0294129810932201,2.33666666666667,0.0278942004680738,0.0310651004917281,0.000266085573955311
"SRS1d","2022",21.1233333333333,0.0982265584764298,1.84666666666667,0.0192530260568483,1.27666666666667,0.0197749685895085,0.0158902136082075,0.000200663207549921
"SRS2","2008",41.2566666666667,0.318361449214064,2.68666666666667,0.0185675277411871,3.53,0.02185812841434,0.0391763740740741,0.00014725003081988
"SRS2","2009",42.05,0.0839954647301752,3.6,0.0279965984328369,3.65,0.0137089936879593,0.0400304534444444,0.000194693776362825
"SRS2","2010",45.8966666666667,0.168888888888889,NA,0,4.07666666666667,0.0171143575563882,0.040811112962963,0.000476197976751801
"SRS2","2011",38.43,0.118524884088314,4.9,0.00763762615825975,3.07333333333333,0.00949333749479726,0.0283498138888889,0.000347795942269403
"SRS2","2012",43.6566666666667,0.0653291759826184,5.95,0.0100461896222362,3.8,0.013228756555323,0.0457554811111111,0.000425590629237881
"SRS2","2013",45.0566666666667,0.0847563683466242,3.74333333333333,0.0417480686327871,3.91666666666667,0.0184173160602786,0.0455641097643098,0.000170870879551904
"SRS2","2014",32.2866666666667,0.0382164078264887,3.35333333333333,0.000555555555555544,2.93666666666667,0.0138888888888889,0.047341244017094,0.000395934971609027
"SRS2","2015",39.0733333333333,0.397448265132445,2.2,0.00787635937708769,3.51,0.0404145188432738,0.0402498116402116,0.000161169564201156
"SRS2","2016",45.8466666666667,0.0573030712554627,4.94666666666667,0.0888940970696433,4.09,0.00481125224324686,0.0394237752747253,0.000741470491109863
"SRS2","2017a",43.6966666666667,0.362036421331294,2.89666666666667,0.119737366920427,3.67333333333333,0.0887777082463919,NA,NA
"SRS2","2017b",47.23,0.274124870167675,3.18666666666667,0.116539613357354,3.97333333333333,0.021688023662159,NA,NA
"SRS2","2018",46.9033333333333,0.146680344480064,4.55333333333333,0.1338923466589,3.94666666666667,0.0231006920958798,0.0404104805982906,9.72701159395877e-05
"SRS2","2019",45.3233333333333,0.036034105929292,6.26,0.0309719108105919,3.57333333333333,0.00973411970440846,0.0577012973375347,0.00277104904383984
"SRS2","2020",46.2866666666667,0.121572769449433,5.34,0.0233531661744264,3.64333333333333,0.00696109115896759,0.032691162762719,0.000282973285108006
"SRS2","2021",42.78,0.0275378527364304,5.48,0.0335548197123144,3.73333333333333,0.0186669973515683,0.0362807253094475,0.000106572329759725
"SRS2","2022",39.7333333333333,0.121603230545131,5.55666666666667,0.0431227074896112,3.40333333333333,0.00867805519545185,0.0367937800053504,5.19507639044324e-05
"SRS3","2008",40.6433333333333,0.126744615391993,2.53666666666667,0.0170058087389044,3.55,0.0173205080756888,0.0562739716483516,0.000732011932706211
"SRS3","2009",42.7633333333333,0.000269484027818286,3.16666666666667,0.00970516711345418,3.75333333333333,0.00922171035669019,0.0848003851557239,0.000541451586693142
"SRS3","2010",44.71,0.054492609080906,NA,0,3.93333333333333,0.0220759072070061,0.0844954033670034,9.21716267513524e-05
"SRS3","2011",42.3966666666667,0.0363156599897871,5.7,0.0176645701062052,3.53666666666667,0.0184173160602786,0.0625815590909091,0.000244139086550763
"SRS3","2012",44.4566666666667,0.0582009078882137,5.71,0.0285935760721284,3.81,0.0173472166622178,0.074024992037037,0.000629026255750972
"SRS3","2013",45.1066666666667,0.0981511180542975,3.4,0.00600925212577332,4.01666666666667,0.0134829567772351,0.0615235414814815,0.00185361938620141
"SRS3","2014",39.4,0.544319997114987,3.26333333333333,0.0117588947158426,3.26,0.06071335200029,0.0773489611111111,0.00138206358529825
"SRS3","2015",41.7466666666667,0.490299731960455,2.23,0.0279549902786869,3.69666666666667,0.0397949993756583,0.0789837,0.000186130575343703
"SRS3","2016",47.1766666666667,0.0419030332736293,4.63,0.0938675189355248,4.14666666666667,0.0295072704997544,0.0755175619047619,0.000196660317460318
"SRS3","2017a",44.8366666666667,0.741322641809394,2.66333333333333,0.0531594387284697,4.07666666666667,0.0523166994088603,NA,NA
"SRS3","2017b",48.6966666666667,0.0826191619778712,3.46333333333333,0.218182730076658,4.21666666666667,0.0589098495191625,NA,NA
"SRS3","2018",47.9733333333333,0.0390789008779308,4.46666666666667,0.0365823947403429,4.56,0.00585314097380705,0.070853025,0.00020743224907708
"SRS3","2019",44.4333333333333,0.0269487396347443,5.40666666666667,0.11745895001349,3.80333333333333,0.0286151561326131,0.0733040808698607,0.000422968267326126
"SRS3","2020",49.9666666666667,0.343215100102358,4.11666666666667,0.0703518494145632,3.97666666666667,0.0101074474437001,0.0636407216183575,0.000120797353059582
"SRS3","2021",44.1833333333333,0.0308720977543329,5.61,0.00763762615825975,3.85,0.010137937550497,0.0633128255551215,0.000535559940105123
"SRS3","2022",42.7066666666667,0.0345652005117827,5.27333333333333,0.0862454149792223,3.70666666666667,0.00894082052190615,0.0651290391466963,0.000246259181710951
"SRS4","2008",39.3466666666667,0.381698607752889,2.53,0.0085526690657448,2.43666666666667,0.00309320242379446,0.0711065866666667,0.00111132780836015
"SRS4","2009",39.47,0.00937014216915367,3.2,0.00485071250072665,2.72333333333333,0.00469861457663044,0.0859173981460864,0.000622680290159445
"SRS4","2010",43.3433333333333,0.0693510483066733,NA,0,2.83333333333333,0.0221387320501903,0.0827085220512821,6.25917848876559e-05
"SRS4","2011",38.6933333333333,0.0727395998251024,5.03666666666667,0.0314220572052873,2.69666666666667,0.00388888888888889,0.0591634686868687,0.000765627635465735
"SRS4","2012",41.955,0.0260426514965297,5.195,0.0141488301261763,2.705,0.00278660214511356,0.0846622666666667,0.000413110358976142
"SRS4","2013",42.4433333333333,0.250381807211938,3.47,0.0208832734769028,2.72666666666667,0.00709285851933539,0.0868091417989418,0.00145048621658847
"SRS4","2014",43.2366666666667,0.0846251721007786,3.28333333333333,0.0056382730917179,2.79333333333333,0.0108155124077399,0.0755298531746032,0.000618589353664441
"SRS4","2015",40.33,0.181523899048929,2.34666666666667,0.0348320485320383,2.74333333333333,0.00987577157479511,0.0868102022222222,0.000396394258112217
"SRS4","2016",44.1766666666667,0.124682312347605,4.51333333333333,0.104908837556856,3.17666666666667,0.0122600424948411,0.0845954812354312,0.00158687665208005
"SRS4","2017a",38.6366666666667,0.545296385599747,2.72,0.0589726867098471,2.88333333333333,0.038634085890475,NA,NA
"SRS4","2017b",46.4366666666667,0.129800416594664,3.12333333333333,0.0510265000142446,3.22333333333333,0.0101835015443463,NA,NA
"SRS4","2018",45.4166666666667,0.0854851802909881,3.70333333333333,0.0403036315491468,3.11666666666667,0.0152246551178275,0.104224381313131,0.00153637907958256
"SRS4","2019",39.7533333333333,0.0879095354313347,5.71,0.0292657048690354,2.65333333333333,0.00829621362392671,0.0857679217657086,0.000853548058637503
"SRS4","2020",44.3666666666667,0.0928575837732037,4.75333333333333,0.0354381742973712,3.02666666666667,0.0194682394088169,0.0593166926662122,0.000612705833964629
"SRS4","2021",40.55,0.154167417415589,5.14,0.00763762615825975,2.82333333333333,0.00640697921926155,0.0888164012716918,0.000249737028356796
"SRS4","2022",40.0933333333333,0.140558849324604,5.35,0.0170239482733828,2.62,0.01,0.0885104932798232,0.00190172204082406
"SRS5","2008",22.3933333333333,0.41987799521313,2.39,0.00577350269189626,1.20333333333333,0.0239662829001367,0.0602763873015873,0.00101726708918438
"SRS5","2009",28.7466666666667,0.0460112707609454,3.20333333333333,0.00603341664416742,1.69,0.00326112260347884,0.0709825834975606,0.000593535550632899
"SRS5","2010",30.6,0.247635110895342,NA,0,1.81666666666667,0.0156741510885176,0.0714393930639731,0.000529980184175781
"SRS5","2011",18.7133333333333,0.301192588402573,2.11666666666667,0.0498361512890857,1.14333333333333,0.0168965625841617,0.0571386101832682,0.000134632808138241
"SRS5","2012",26.96,0.225304320946219,3.27666666666667,0.0342151868670285,1.62,0.0235898597172913,0.0832466401481481,0.00174572367121286
"SRS5","2013",24.93,0.466881894812493,3.01333333333333,0.0622891505127894,1.49,0.0314613225217062,0.0742945805555556,0.00118594079621448
"SRS5","2014",25.5075,0.278004561937989,3.0725,0.0357111531364269,1.44,0.0174224472065972,0.0746282875072296,0.000539519554600987
"SRS5","2015",25.988,0.207249189785308,2.13,0.0091323600454647,1.562,0.0146955775660571,0.066926321324716,0.000301472986856382
"SRS5","2016",27.2366666666667,0.186669973515683,3.55666666666667,0.0347522092734076,1.74666666666667,0.0120313376820598,0.0725583293807642,0.000297880555171135
"SRS5","2017a",21.6066666666667,0.384279026711543,2.45666666666667,0.021688023662159,1.17,0.0351188458428425,NA,NA
"SRS5","2017b",21.9366666666667,1.61646000970113,1.91,0.188865031173058,1.20166666666667,0.110902442948079,NA,NA
"SRS5","2018",32.0333333333333,0.101421988508836,3.38333333333333,0.0453926627018122,1.96666666666667,0.0101074474437001,0.0803692613275613,0.000923012752551942
"SRS5","2019",23.14,0.530584059734595,3.24666666666667,0.110660196151759,1.20666666666667,0.0314809368144604,0.057573707077249,0.000517738063003762
"SRS5","2020",21.8266666666667,0.262114502356659,2.23,0.0441692871340021,1.12,0.0150308325094097,0.0351370897952057,0.000825944247444087
"SRS5","2021",16.59,0.107268268754005,1.61,0.0275042084321924,0.806666666666667,0.00818384436814235,0.0556640661870504,0.000894265762085965
"SRS5","2022",16.5466666666667,0.0697371608608944,1.90666666666667,0.0214375348684164,0.836666666666667,0.00654990340141755,0.0463193172526853,0.000342876331957289
"SRS6","2008",12.7033333333333,0.0178557318666536,0.96,0.000962250448649377,0.53,0.00254587538608658,0.0416657182387383,0.000956104669769586
"SRS6","2009",14.01,0.0988595094787501,1.37,0.0214354175182805,0.623333333333333,0.00750211783218889,0.0488274458838311,0.000417698063751444
