SITENAME,Year,per_C,error_C,per_H,error_H,per_N,error_N,per_P,error_P,per_O,error_O,np_ratio
TS/Ph1,2011,12.35222222,0.045457046,1.496666667,0.040592322,0.806666667,0.003192663,0.006818067,5.98E-05,9.056666667,0.033926815,261.63
TS/Ph10,2011,12.18,0.010929064,0.276666667,0.021523745,0.743333333,0.031510335,0.001222129,1.39E-05,5.346666667,0.072228632,1344.99
TS/Ph11,2011,12.00666667,0.010599324,0.346666667,0.002421611,0.686666667,0.003643021,0.009807533,0.00077227,5.53,0.037650931,154.82
TS/Ph2,2011,15.22666667,0.013344902,0.67,0.008552669,0.88,0.007264832,0.007435272,0.000466173,11.92,0.306912643,261.72
TS/Ph3,2011,17.19333333,0.106224489,0.786666667,0.032791899,1.093333333,0.013754909,0.004556175,0.00028058,14.28,0.403430888,530.65
TS/Ph4,2011,17.27,0.171248696,0.817777778,0.023898844,1.056666667,0.018180969,0.007127981,5.34E-05,14.19666667,0.286915405,327.81
TS/Ph5,2011,14.95,0.078810603,0.48,0.005357584,0.856666667,0.019011043,0.002137368,1.10E-05,9.17,0.201220811,886.31
TS/Ph6,2011,16.65,0.156993232,1.1625,0.040598068,1.03,0.017187689,0.007983952,0.000284176,17.8475,0.60381364,285.28
TS/Ph7,2011,14.95333333,0.049153325,1.1,0.014561492,0.833333333,0.008407081,0.023826215,0.000393613,81.16333333,10.27410969,77.34
TS/Ph8,2011,16.28333333,0.050040107,1.503333333,0.020555556,1.183333333,0.011399047,0.025930797,0.00051156,25.69333333,0.376472828,100.91
TS/Ph9,2011,12.3,0.015275252,0.443333333,0.011399047,0.66,0.01004619,0.005783582,0.000207328,8.356666667,0.105415111,252.35
SRS1d,2012,29.32666667,0.996449871,2.973333333,0.140976533,2.283333333,0.104776364,0.022066926,0.00105013,55.91333333,2.613825835,228.81
SRS2,2012,43.65666667,0.065329176,5.95,0.01004619,3.8,0.013228757,0.045755481,0.000425591,84.77,0.077268172,183.65
SRS3,2012,44.45666667,0.058200908,5.71,0.028593576,3.81,0.017347217,0.074024992,0.000629026,86.56666667,0.067907435,113.81
SRS4,2012,41.955,0.026042651,5.195,0.01414883,2.705,0.002786602,0.084662267,0.00041311,84.23666667,0.065710312,70.65
SRS5,2012,26.96,0.225304321,3.276666667,0.034215187,1.62,0.02358986,0.08324664,0.001745724,50.31,0.629146983,43.03
SRS6,2012,16.35,0.155358009,1.653333333,0.029207643,0.846666667,0.014283289,0.06126411,0.000407689,25.39,0.517086747,30.56
TS/Ph1,2012,15.192,0.049913903,0.935,0.009302391,0.918,0.005075975,0.000337272,8.20E-06,10.52666667,0.017389681,6018.86
TS/Ph10,2012,12.01,0.006666667,0.35,0.001924501,0.366666667,0.001469862,0.005764113,6.74E-05,5.16,0.032503561,140.67
TS/Ph11,2012,11.86666667,0.024043428,0.326666667,0.01639595,0.39,0.008660254,0.017885829,0.000639481,4.533333333,0.162652587,48.22
TS/Ph2,2012,14.40333333,0.021111111,0.426666667,0.004937886,0.65,0.002545875,0.00800658,0.000636001,7.846666667,0.012031338,179.52
TS/Ph3,2012,16.16666667,0.127149421,0.75,0.032674035,0.833333333,0.017329416,0.007205142,0.000222023,16.66333333,1.343475431,255.76
TS/Ph4,2012,16.53,0.150866863,0.863333333,0.02908818,0.842222222,0.017532837,0.010608207,6.04E-05,8.933333333,0.112891856,175.56
TS/Ph5,2012,14.54333333,0.016896563,0.353333333,0.008069911,0.63,0.00096225,0.005198205,3.81E-05,6.736666667,0.030373193,268.00
TS/Ph6,2012,15.15666667,0.133753966,0.586666667,0.021886351,0.62,0.012619796,0.008775302,0.000238351,9.126666667,0.378349649,156.24
TS/Ph7,2012,16.91333333,0.094840672,1.403333333,0.012993351,0.82,0.008388705,0.046885827,0.000507566,21.52,0.388674147,38.67
TS/Ph8,2012,21.51666667,0.270351851,2.386666667,0.040441239,1.32,0.023824202,0.052934402,0.001293612,33.56333333,0.93391318,55.14
TS/Ph9,2012,12.35333333,0.03797335,0.45,0.002545875,0.446666667,0.005555556,0.004128598,0.00058854,7.18,0.015752719,239.24
SRS1d,2013,30.725,0.498235532,2.76,0.051552966,2.365,0.053128186,0.030397723,0.000559285,49.03,1.330232671,172.05
SRS2,2013,45.05666667,0.084756368,3.743333333,0.041748069,3.916666667,0.018417316,0.04556411,0.000170871,88.21666667,0.566969146,190.08
SRS3,2013,45.10666667,0.098151118,3.4,0.006009252,4.016666667,0.013482957,0.061523541,0.001853619,86.40333333,0.047864908,144.37
SRS4,2013,42.44333333,0.250381807,3.47,0.020883273,2.726666667,0.007092859,0.086809142,0.001450486,83.23666667,0.350673074,69.46
SRS5,2013,24.93,0.466881895,3.013333333,0.062289151,1.49,0.031461323,0.074294581,0.001185941,48.58333333,0.908469579,44.35
SRS6,2013,15.29666667,0.077138244,1.49,0.012018504,0.793333333,0.006758625,0.052525403,0.00164642,24.92,0.113578167,33.40
TS/Ph1,2013,14.45333333,0.104129253,0.87,0.011097214,0.863333333,0.014087469,0.000187812,5.52E-06,9.65,0.180310945,10165.00
TS/Ph10,2013,12.10333333,0.016951274,0.426666667,0.000555556,0.43,0.002886751,0.002806822,3.83E-05,5.29,0.038018027,338.77
TS/Ph11,2013,11.89666667,0.063896135,0.473333333,0.006758625,0.476666667,0.005555556,0.011560103,0.000248601,5.69,0.076720995,91.18
TS/Ph2,2013,14.84,0.043472,0.606666667,0.010198644,0.696666667,0.004339028,0.004148535,0.000657535,8.436666667,0.200763204,371.35
TS/Ph3,2013,16.27333333,0.173990031,0.863333333,0.032379882,0.863333333,0.019961382,0.006745965,0.000238031,11.64666667,0.533226841,283.00
TS/Ph4,2013,15.02666667,0.007777778,0.673333333,0.002222222,0.696666667,0.000555556,0.013082406,0.000122209,8.283333333,0.029000851,117.76
TS/Ph5,2013,14.16666667,0.110865005,1,0.045856055,0.676666667,0.004746669,0.003293241,7.58E-05,7.863333333,0.085571788,454.36
TS/Ph6,2013,17.836,0.252649507,1.24,0.042300512,0.806,0.016792062,0.01005146,0.000221776,17.674,0.734452068,177.32
TS/Ph7,2013,15.58,0.181115371,1.086666667,0.02715411,0.776666667,0.014021588,0.04308336,0.000652032,19.29333333,0.442861417,39.86
TS/Ph8,2013,22.97333333,0.039161741,2.593333333,0.002222222,1.503333333,0.00580017,0.057267385,0.000439818,40.26666667,0.200952209,58.05
TS/Ph9,2013,12.46333333,0.028888889,0.493333333,0.003888889,0.483333333,0.003093202,0.00484001,5.98E-05,5.973333333,0.077330061,220.83
SRS1d,2014,25.845,0.188150261,2.8875,0.04723032,1.975,0.032613584,0.036275284,0.001029453,57.11,1.892247726,120.39
SRS2,2014,32.28666667,0.038216408,3.353333333,0.000555556,2.936666667,0.013888889,0.047341244,0.000395935,89.51,0.024056261,137.17
SRS3,2014,39.4,0.544319997,3.263333333,0.011758895,3.26,0.060713352,0.077348961,0.001382064,88.00333333,0.197203442,93.20
SRS4,2014,43.23666667,0.084625172,3.283333333,0.005638273,2.793333333,0.010815512,0.075529853,0.000618589,83.00666667,0.068261028,81.78
SRS5,2014,25.5075,0.278004562,3.0725,0.035711153,1.44,0.017422447,0.074628288,0.00053952,45.89,0.663888325,42.67
SRS6,2014,15.38,0.075647207,1.575,0.016230758,0.785,0.00745123,0.056035165,0.000641526,23.12,0.254175546,30.98
TS/Ph1,2014,15.05333333,0.105305259,0.976666667,0.081957155,0.886666667,0.060325762,0.015996485,0.000612539,10.93,0.57776469,122.57
TS/Ph10,2014,12.15,0.008660254,0.423333333,0.003093202,0.403333333,0.001469862,0.00718992,2.05E-05,6.456666667,0.010642913,124.05
TS/Ph11,2014,11.9,0.0211038,0.266666667,0.011399047,0.34,0.005357584,0.016673429,0.000249954,4.563333333,0.087909535,45.09
TS/Ph2,2014,15.03333333,0.066453362,1.016666667,0.033970757,0.63,0.025166115,0.015209664,0.000402583,9.423333333,0.193910378,91.60
TS/Ph3,2014,21.61666667,0.215650037,1.936666667,0.038131514,1.02,0.037650931,0.013139683,9.77E-05,25.99666667,0.561281877,171.66
TS/Ph4,2014,15.25666667,0.053092628,0.753333333,0.008678055,0.456666667,0.027927375,0.016623871,0.000310837,9.983333333,0.172801892,60.75
TS/Ph5,2014,17.11,0.086518302,1.0125,0.043376681,0.7625,0.01628122,0.006095324,0.000126138,13.4625,0.286052288,276.63
TS/Ph6,2014,15.18666667,0.046560726,0.606666667,0.007777778,0.61,0.021858128,0.008512272,5.75E-05,10.41666667,0.103549654,158.47
TS/Ph7,2014,16.78333333,0.12003986,1.953333333,0.096735289,0.663333333,0.014603822,0.060945045,0.00191571,22.48333333,0.593837437,24.07
TS/Ph8,2014,20.88333333,0.245937988,2.56,0.03192874,1.316666667,0.01497941,0.040530858,0.000811314,32.10333333,0.571094088,71.84
TS/Ph9,2014,12.21,0.158572918,0.416666667,0.003643021,0.41,0.005091751,0.009893216,0.000104802,6.31,0.060835236,91.64
SRS1d,2015,31.2725,0.609174711,1.95,0.023269257,2.445,0.065135276,0.027419303,0.000972679,43.4775,1.22705163,197.19
SRS2,2015,39.07333333,0.397448265,2.2,0.007876359,3.51,0.040414519,0.040249812,0.00016117,85.11333333,0.092006106,192.84
SRS3,2015,41.74666667,0.490299732,2.23,0.02795499,3.696666667,0.039794999,0.0789837,0.000186131,87.48333333,0.044848855,103.50
SRS4,2015,40.33,0.181523899,2.346666667,0.034832049,2.743333333,0.009875772,0.086810202,0.000396394,81.96666667,0.044204212,69.88
SRS5,2015,25.988,0.20724919,2.13,0.00913236,1.562,0.014695578,0.066926321,0.000301473,50.914,0.46369017,51.61
SRS6,2015,15.5325,0.117226077,1.5875,0.022497106,0.8425,0.010708009,0.056858521,0.000835241,24.1,0.456173624,32.77
TS/Ph1,2015,14.44333333,0.100481864,1.103333333,0.017222222,0.883333333,0.004746669,0.012809451,0.000698613,11.12333333,0.102204105,152.49
TS/Ph10,2015,11.9,0.005853141,0.5,0.001666667,0.423333333,0.000555556,0.006690521,5.61E-05,6.15,0.045102763,139.92
TS/Ph11,2015,12.13333333,0.030585844,0.41,0.011824331,0.466666667,0.006186405,0.018082257,0.000453868,4.91,0.149033926,57.07
TS/Ph2,2015,15.70666667,0.043079742,0.93,0.009477068,0.836666667,0.003643021,0.016456693,0.000124412,10.90666667,0.135545309,112.42
TS/Ph3,2015,16.98333333,0.02928679,1.133333333,0.008624541,0.993333333,0.003888889,0.008341861,0.000147765,12.65666667,0.061533891,263.32
TS/Ph4,2015,15.11,0.11757976,0.98,0.006309898,0.723333333,0.009493337,0.013924891,0.00033954,9.07,0.168250805,114.87
TS/Ph5,2015,15.34,0.035211004,0.77,0.005357584,0.776666667,0.004843221,0.004790751,6.07E-05,8.566666667,0.063983022,358.50
TS/Ph6,2015,14.3775,0.088381718,1.0325,0.027058482,0.6575,0.009324866,0.00831154,0.000151382,10.5975,0.313946444,174.93
TS/Ph7,2015,15.33666667,0.042701953,1.513333333,0.008183844,0.776666667,0.002939724,0.034807826,0.000300298,20.23666667,0.131917249,49.34
TS/Ph8,2015,17.29,0.151477293,1.946666667,0.012410171,1.15,0.016666667,0.042858235,0.000807199,31.42333333,0.776135568,59.34
TS/Ph9,2015,11.78666667,0.016951274,0.453333333,0.003093202,0.4,0.00096225,0.005965809,3.60E-05,5.436666667,0.033531816,148.27
SRS1d,2016,22.76333333,0.21880427,2.23,0.038490018,1.696666667,0.025537433,0.026225145,0.000842391,28.80666667,0.585065154,143.06
SRS2,2016,45.84666667,0.057303071,4.946666667,0.088894097,4.09,0.004811252,0.039423775,0.00074147,83.85333333,0.061646643,229.41
SRS3,2016,47.17666667,0.041903033,4.63,0.093867519,4.146666667,0.02950727,0.075517562,0.00019666,88.43333333,0.067565697,121.42
SRS4,2016,44.17666667,0.124682312,4.513333333,0.104908838,3.176666667,0.012260042,0.084595481,0.001586877,86.2,0.052941267,83.04
SRS5,2016,27.23666667,0.186669974,3.556666667,0.034752209,1.746666667,0.012031338,0.072558329,0.000297881,57.48,0.524740677,53.23
SRS6,2016,15.71,0.170272113,1.61,0.03532914,0.86,0.010183502,0.059074276,0.001169043,27.51666667,0.419777645,32.19
TS/Ph1,2016,14.52,0.020092379,0.59,0.005853141,0.836666667,0.003643021,0.021125519,0.000387441,8.896666667,0.128056459,87.58
TS/Ph10,2016,12.44,0.011706282,0.39,0.002886751,0.606666667,0.001111111,0.005759354,9.72E-05,7.65,0.053342013,232.93
TS/Ph11,2016,12,0.017023948,0.38,0.004194352,0.586666667,0.004547418,0.03334516,0.000773473,7.56,0.053159439,38.91
TS/Ph2,2016,14.72333333,0.030827076,0.493333333,0.016951274,0.85,0.007698004,0.031313929,0.001682179,8.233333333,0.153786568,60.03
TS/Ph3,2016,16.28666667,0.104564057,0.713333333,0.01639595,1.043333333,0.016951274,0.02900574,0.000667359,12.49666667,0.343934659,79.54
TS/Ph4,2016,15.24,0.032716515,0.56,0.004811252,0.85,0.006735753,0.022279345,0.000231522,9.34,0.140544576,84.37
TS/Ph5,2016,14.91666667,0.069337696,0.49,0.010929064,0.806666667,0.006260793,0.009768723,0.000478053,10.42666667,0.436146142,182.60
TS/Ph6,2016,15.06,0.164539199,0.59,0.029360467,0.76,0.019172704,0.010782471,0.000557802,11.37333333,0.720160947,155.86
TS/Ph7,2016,17.17333333,0.076025905,1.496666667,0.012108053,0.99,0.006938887,0.0402662,0.000613324,25.89666667,0.103173413,54.37
TS/Ph8,2016,17.52666667,0.156965829,1.686666667,0.030797026,1.14,0.014369464,0.035981574,0.000755662,23.32333333,0.648663393,70.06
TS/Ph9,2016,10.72333333,0.041514537,0.25,0.005773503,0.443333333,0.002939724,0.008258832,0.000410192,5.32,0.126918609,118.70
SRS1d,2017,42.08666667,0.677284885,2.64,0.020275875,3.48,0.072111026,0.03966823,0.001174993,78.9,0.181475435,193.99
SRS2,2017,43.69666667,0.362036421,2.896666667,0.119737367,3.673333333,0.088777708,0.044258886,0.001869481,83.5,1.02001634,183.53
SRS3,2017,44.83666667,0.741322642,2.663333333,0.053159439,4.076666667,0.052316699,0.073469389,0.001943268,87.62666667,0.205002258,122.70
SRS4,2017,38.63666667,0.545296386,2.72,0.058972687,2.883333333,0.038634086,0.091568843,0.002380275,88.41,0.235678689,69.63
SRS5,2017,21.60666667,0.384279027,2.456666667,0.021688024,1.17,0.035118846,0.050629669,0.000901374,36.08333333,0.728776245,51.10
SRS6,2017,13.62333333,0.204432367,1.053333333,0.056992527,0.596666667,0.013471506,0.033935144,0.00020316,17.44333333,0.338449624,38.88
TS/Ph1,2017,14.58333333,0.059659528,0.783333333,0.025018512,0.813333333,0.020367003,0.008155621,0.000404254,5.963333333,0.093650256,220.53
TS/Ph10,2017,11.89666667,0.036717137,0.43,0.013333333,0.426666667,0.003849002,0.040998515,0.004892471,9.306666667,0.720048867,23.01
TS/Ph11,2017,12.28333333,0.167376267,0.683333333,0.03371998,0.583333333,0.025239593,0.021099693,0.000951248,23.08,7.124655157,61.14
TS/Ph2,2017,14.95666667,0.12024666,0.69,0.021858128,0.773333333,0.013471506,0.017308757,0.000826546,9.18,0.434255429,98.80
TS/Ph3,2017,15.67,0.254580265,0.726666667,0.04286067,0.773333333,0.033388843,0.010834514,0.000342837,10.01,0.680889941,157.84
TS/Ph4,2017,9.466666667,2.597114496,0.503333333,0.030792014,0.663333333,0.053886025,0.010279301,0.000853091,6.116666667,0.120061713,142.70
TS/Ph5,2017,14.16666667,0.03355482,0.463333333,0.009622504,0.603333333,0.009622504,0.006564206,0.000398977,6.64,0.147459976,203.25
TS/Ph6,2017,41.12666667,0.185302555,2.576666667,0.127381027,2.956666667,0.086431304,0.040507109,0.002458806,85.09333333,0.111770267,161.41
TS/Ph7,2017,16.97,0.161692438,1.536666667,0.028349668,0.833333333,0.007698004,0.051635908,0.00253022,23.69333333,0.418268034,35.69
TS/Ph8,2017,20.88666667,0.093650256,2.346666667,0.028349668,1.27,0.02081666,0.049748364,0.002849636,36.02666667,0.457642914,56.45
TS/Ph9,2017,10.67666667,0.07456044,0.31,0.008819171,0.343333333,0.010715168,0.007271363,0.000138637,4.283333333,0.075816543,104.41
SRS1d,2018,43.23333333,0.171281481,4.173333333,0.091698648,3.56,0.010137938,0.040680416,0.000245655,70.13333333,0.658093018,193.52
SRS2,2018,46.90333333,0.146680344,4.553333333,0.133892347,3.946666667,0.023100692,0.040405808,0.000102745,84.43333333,0.248203421,215.99
SRS3,2018,47.97333333,0.039078901,4.466666667,0.036582395,4.56,0.005853141,0.070892259,0.000194736,87.36666667,0.033793125,142.24
SRS4,2018,45.41666667,0.08548518,3.703333333,0.040303632,3.116666667,0.015224655,0.104205687,0.001531373,86.4,0.125092558,66.14
SRS5,2018,32.03333333,0.101421989,3.383333333,0.045392663,1.966666667,0.010107447,0.080380237,0.000926116,61.5,0.18733017,54.10
SRS6,2018,15.47,0.088338574,1.306666667,0.008407081,0.683333333,0.01447646,0.04732298,0.000351046,22.4,0.491878485,31.93
TS/Ph1,2018,14.82,0.03968627,0.67,0.003469443,0.78,0.002545875,0.004812548,0.000175542,7.866666667,0.033793125,358.40
TS/Ph10,2018,12.27666667,0.009875772,0.42,0.00096225,0.4,0.005357584,0.004847993,2.19E-05,5.3,0.041943525,182.45
TS/Ph11,2018,12.29333333,0.037197338,0.67,0.006309898,0.75,0.024209732,0.029802896,0.000402977,8.366666667,0.069610912,55.65
TS/Ph2,2018,15.20666667,0.052900442,0.606666667,0.011758895,0.803333333,0.020283485,0.010829297,0.000752482,7.733333333,0.06826781,164.04
TS/Ph3,2018,15.72333333,0.04327275,0.726666667,0.007349309,0.76,0.005853141,0.008777348,5.32E-05,9.2,0.083887049,191.47
TS/Ph4,2018,14.60666667,0.044204212,0.536666667,0.008940821,0.546666667,0.004339028,0.005481305,6.08E-05,6.533333333,0.11479988,220.54
TS/Ph5,2018,14.86,0.064750232,0.576666667,0.014021588,0.553333333,0.009094836,0.010823213,0.000330545,7.533333333,0.194920053,113.05
TS/Ph6,2018,15.41666667,0.022408938,0.726666667,0.007474236,0.57,0.023353166,0.009493594,0.000164617,9.233333333,0.033793125,132.77
TS/Ph7,2018,16.19,0.142792909,1.103333333,0.023517789,0.626666667,0.020283485,0.031642317,0.000813862,19.46666667,0.45565717,43.79
TS/Ph8,2018,19.56666667,0.05532173,2.016666667,0.006260793,1.283333333,0.004444444,0.042920341,0.00052723,27.06666667,0.490779174,66.12
TS/Ph9,2018,10.50333333,0.021523745,0.28,0.007637626,0.196666667,0.0131351,0.002956282,0.00010081,3.8,0.041943525,147.11
SRS1d,2019,21.92333333,0.505690153,1.816666667,0.110572305,1.266666667,0.063350388,0.024818825,0.001224512,28.93812846,2.063759408,112.86
SRS2,2019,45.32333333,0.036034106,6.26,0.030971911,3.573333333,0.00973412,0.057776032,0.002774397,85.51499962,0.226834405,136.77
SRS3,2019,44.43333333,0.02694874,5.406666667,0.11745895,3.803333333,0.028615156,0.073187714,0.000433308,87.5490294,0.11913585,114.92
SRS4,2019,39.75333333,0.087909535,5.71,0.029265705,2.653333333,0.008296214,0.085605804,0.000840706,82.64222082,0.127724246,68.54
SRS5,2019,23.14,0.53058406,3.246666667,0.110660196,1.206666667,0.031480937,0.057541552,0.000519428,40.84535556,0.87486276,46.37
SRS6,2019,15.48333333,0.049453807,1.66,0.014529663,0.693333333,0.005299662,0.043318259,0.000558381,26.06790559,0.169782574,35.39
TS/Ph1,2019,15.77666667,0.130998068,0.813333333,0.028043177,0.733333333,0.017907513,0.007093557,0.000455709,12.42549926,0.416043573,228.61
TS/Ph10,2019,12.19666667,0.011235416,0.413333333,0.003379313,0.373333333,0.000555556,0.000705895,5.56E-06,6.224675537,0.047432928,1169.52
TS/Ph11,2019,12.57333333,0.019277057,0.58,0.004194352,0.476666667,0.003643021,0.030651345,0.000293731,9.232161407,0.030524024,34.39
