SITENAME,Year,per_C,error_C,per_H,error_H,per_N,error_N,per_P,error_P,per_O,error_O,np_ratio
SRS1d,2008,34.4875,0.381317993,2.6675,0.019307679,2.5025,0.039452965,0.029245947,8.02E-05,73.8475,0.247414705,189.22
SRS2,2008,41.25666667,0.318361449,2.686666667,0.018567528,3.53,0.021858128,0.039176374,0.00014725,87.60333333,0.166903535,199.25
SRS3,2008,40.64333333,0.126744615,2.536666667,0.017005809,3.55,0.017320508,0.056273972,0.000732012,88.22666667,0.030035987,139.50
SRS4,2008,39.34666667,0.381698608,2.53,0.008552669,2.436666667,0.003093202,0.071106587,0.001111328,86.02,0.055251948,75.78
SRS5,2008,22.39333333,0.419877995,2.39,0.005773503,1.203333333,0.023966283,0.060276387,0.001017267,59.16666667,0.706250096,44.15
SRS6,2008,12.70333333,0.017855732,0.96,0.00096225,0.53,0.002545875,0.041665718,0.000956105,23.58333333,0.478818311,28.13
TS/Ph1,2008,14.54777778,0.035594164,1.137777778,0.008041476,0.881111111,0.003234256,0.005377121,0.0002185,12.87,0.036328406,362.35
TS/Ph10,2008,12.04333333,0.008012336,0.48,0.001924501,0.396666667,0.001469862,0.002800231,0.000231667,6.003333333,0.133888889,313.24
TS/Ph11,2008,11.63666667,0.001469862,0.29,0.001924501,0.31,0.001924501,0.003807428,0.000140777,2.94,0.012729377,180.05
TS/Ph2,2008,15.86666667,0.109448674,0.88,0.025018512,0.803333333,0.015585289,0.014782301,0.00055277,11.76,0.392725519,120.17
TS/Ph3,2008,15.29333333,0.046769068,0.706666667,0.009345891,0.703333333,0.006186405,0.008040949,5.84E-05,10.20333333,0.182422823,193.42
TS/Ph4,2008,15.70333333,0.08047363,0.896666667,0.020709174,0.723333333,0.010479181,0.009101762,0.000145525,7.453333333,0.115144458,175.74
TS/Ph5,2008,14.52666667,0.038058597,0.546666667,0.007718024,0.603333333,0.005299662,0.007274588,0.000378596,7.406666667,0.1553292,183.40
TS/Ph6,2008,16.1425,0.168549804,1.3025,0.043991891,0.755,0.015346688,0.007050144,0.000287472,19.3775,1.060850423,236.81
TS/Ph7,2008,14.49666667,0.065788194,1.21,0.005357584,0.623333333,0.000555556,0.025945846,0.000797843,18.19333333,0.479044509,53.13
TS/Ph8,2008,18.09,0.254034118,2.243333333,0.047632207,1.033333333,0.016225647,0.038648656,0.000496745,26.14666667,0.541261672,59.12
TS/Ph9,2008,13.6075,0.333738225,0.955,0.077142381,0.5225,0.025033122,0.003493215,0.000227463,5.61,0.086867483,330.76
SRS1d,2009,34.87333333,0.070382295,3.37,0.009712647,2.933333333,0.004436267,0.046468163,0.000514541,74.16,0.280935063,139.59
SRS2,2009,42.05,0.083995465,3.6,0.027996598,3.65,0.013708994,0.040030453,0.000194694,84.86,0.133606387,201.63
SRS3,2009,42.76333333,0.000269484,3.166666667,0.009705167,3.753333333,0.00922171,0.084800385,0.000541452,87.47,0.03449764,97.87
SRS4,2009,39.47,0.009370142,3.2,0.004850713,2.723333333,0.004698615,0.085917398,0.00062268,79.58666667,0.805549966,70.09
SRS5,2009,28.74666667,0.046011271,3.203333333,0.006033417,1.69,0.003261123,0.070982583,0.000593536,57.54142857,0.632649833,52.65
SRS6,2009,14.01,0.098859509,1.37,0.021435418,0.623333333,0.007502118,0.048827446,0.000417698,22.43333333,0.266568337,28.23
TS/Ph1,2009,14.43666667,0.008723122,0.785555556,0.00307288,0.721111111,0.001732218,0.005921423,0.00010494,8.918333333,0.050236967,269.29
TS/Ph10,2009,11.95666667,0.002395226,0.483333333,0.000971638,0.373333333,0.000971638,0.003977646,0.000146227,5.66,0.022947321,207.55
TS/Ph11,2009,11.76333333,0.004485108,0.433333333,0.000538968,0.383333333,0.000712988,0.005343149,0.000139254,4.455,0.050581316,158.65
TS/Ph2,2009,16.17333333,0.038023996,0.943333333,0.008470548,0.856666667,0.00380154,0.012979077,0.000436413,11.97833333,0.116655189,145.96
TS/Ph3,2009,16.594,0.02057357,0.992,0.004456053,0.844,0.002701377,0.009869396,2.91E-05,14.3425,0.08531397,189.11
TS/Ph4,2009,16.15222222,0.06304166,1.064444444,0.014756904,0.797777778,0.007169364,0.014032822,1.75E-05,8.213333333,0.014756612,125.72
TS/Ph5,2009,14.34666667,0.033144344,0.526666667,0.006540195,0.583333333,0.005449977,0.005840453,0.000129865,7.161666667,0.100792295,220.86
TS/Ph6,2009,14.66666667,0.038899158,0.696666667,0.00876134,0.533333333,0.003503292,0.020913835,0.000670414,13.07833333,0.359446957,56.39
TS/Ph7,2009,13.65,0.012445962,0.96,0.005959193,0.56,0.00306075,0.035582915,0.00034612,17.12333333,0.192510834,34.80
TS/Ph8,2009,16.18,0.056637824,1.773333333,0.009569529,0.963333333,0.004235274,0.040752808,0.000215428,25.56166667,0.162980951,52.27
TS/Ph9,2009,11.72,0.005735643,0.453333333,0.000269484,0.34,0.000808452,0.008140877,0.000294785,7.236666667,0.074441762,92.35
SRS1d,2010,35.6225,0.730206845,NA,NA,2.89,0.079241193,0.04337969,0.00014842,76.65333333,0.422145394,147.32
SRS2,2010,45.89666667,0.168888889,NA,NA,4.076666667,0.017114358,0.040811113,0.000476198,85.86333333,0.120532512,220.89
SRS3,2010,44.71,0.054492609,NA,NA,3.933333333,0.022075907,0.084495403,9.22E-05,87.96,0.05083561,102.94
SRS4,2010,43.34333333,0.069351048,NA,NA,2.833333333,0.022138732,0.082708522,6.26E-05,86.14333333,0.031348302,75.75
SRS5,2010,30.6,0.247635111,NA,NA,1.816666667,0.015674151,0.071439393,0.00052998,54.43,0.501127433,56.23
SRS6,2010,16.22333333,0.280393793,NA,NA,0.826666667,0.024158683,0.048511094,0.001011474,21.66333333,0.436380667,37.68
TS/Ph1,2010,15.19777778,0.025444312,NA,NA,0.874444444,0.004609167,0.007787581,0.000274225,9.91,0.132442537,248.30
TS/Ph10,2010,12.21333333,0.004746669,NA,NA,0.376666667,0.001111111,0.001711693,3.75E-05,5.94,0.010929064,486.61
TS/Ph11,2010,11.94,0.024286103,NA,NA,0.36,0.003469443,0.006050177,0.000382305,3.993333333,0.088203958,131.58
TS/Ph2,2010,16.45,0.106592856,NA,NA,0.866666667,0.015879562,0.011573222,0.001123848,11.68666667,0.149152958,165.60
TS/Ph3,2010,16.79,0.045164309,NA,NA,0.886666667,0.003643021,0.010191445,0.000112271,11.76333333,0.222852578,192.39
TS/Ph4,2010,18.54666667,0.246698363,NA,NA,0.996666667,0.025052019,0.014239667,3.51E-05,7.903333333,0.035924017,154.78
TS/Ph5,2010,14.62,0.039522614,NA,NA,0.64,0.003849002,0.007239618,0.000231324,6.83,0.208555437,195.49
TS/Ph6,2010,16.87666667,0.285281429,NA,NA,0.76,0.020838888,0.01233575,0.000553303,15.17666667,0.881671568,136.24
TS/Ph7,2010,16.59333333,0.079642333,NA,NA,0.826666667,0.004444444,0.036614621,0.000380355,20.10666667,0.242038666,49.93
TS/Ph8,2010,17.91666667,0.092897461,NA,NA,1.13,0.01336801,0.037929265,0.000349006,26.14666667,0.24592481,65.88
TS/Ph9,2010,12.9,0.01,NA,NA,0.516666667,0.001469862,0.009058701,0.000227282,8.48,0.017023948,126.12
SRS1d,2011,NA,NA,NA,NA,NA,NA,0.018084626,0.000457235,44.16,1.097978361,#VALUE!
SRS2,2011,38.43,0.118524884,4.9,0.007637626,3.073333333,0.009493337,0.028349814,0.000347796,86.43333333,0.084707194,239.72
SRS3,2011,42.39666667,0.03631566,5.7,0.01766457,3.536666667,0.018417316,0.062581559,0.000244139,86.29,0.186817895,124.97
SRS4,2011,38.69333333,0.0727396,5.036666667,0.031422057,2.696666667,0.003888889,0.059163469,0.000765628,82.77666667,0.312530492,100.79
SRS5,2011,18.71333333,0.301192588,2.116666667,0.049836151,1.143333333,0.016896563,0.05713861,0.000134633,41.32666667,0.527704966,44.25
SRS6,2011,17.97666667,0.408068319,1.833333333,0.074767128,1.3,0.04785201,0.053669741,0.001686032,28.56333333,1.299095958,53.56
