SITENAME,Year,per_C,error_C,per_H,error_H,per_N,error_N,per_P,error_P,per_O,error_O,np_ratio
SRS6,2010,16.22333333,1.682362756,NA,NA,0.826666667,0.144952099,0.048511094,0.006068842,21.66333333,2.618284001,37.68
TS/Ph1,2010,15.19777778,0.23834952,NA,NA,0.874444444,0.043176354,0.007787581,0.005137599,9.91,2.481310138,248.3
TS/Ph10,2010,12.21333333,0.028480012,NA,NA,0.376666667,0.006666667,0.001711693,2.25E-04,5.94,0.065574385,486.61
TS/Ph11,2010,11.94,0.14571662,NA,NA,0.36,0.02081666,0.006050177,0.002293831,3.993333333,0.52922375,131.58
TS/Ph2,2010,16.45,0.639557138,NA,NA,0.866666667,0.095277373,0.011573222,0.00674309,11.68666667,0.894917749,165.6
TS/Ph3,2010,16.79,0.270985854,NA,NA,0.886666667,0.021858128,0.010191445,0.000673625,11.76333333,1.337115469,192.39
TS/Ph4,2010,18.54666667,2.310946175,NA,NA,0.996666667,0.234674716,0.014239667,6.58E-04,7.903333333,0.673036238,154.78
TS/Ph5,2010,14.62,0.237135685,NA,NA,0.64,0.023094011,0.007239618,0.001387946,6.83,1.251332623,195.49
TS/Ph6,2010,16.87666667,1.711688575,NA,NA,0.76,0.125033329,0.01233575,0.003319821,15.17666667,5.290029406,136.24
TS/Ph7,2010,16.59333333,0.477853999,NA,NA,0.826666667,0.026666667,0.036614621,0.002282127,20.10666667,1.452231999,49.93
TS/Ph8,2010,17.91666667,0.557384766,NA,NA,1.13,0.080208063,0.037929265,0.002094036,26.14666667,1.475548862,65.88
TS/Ph9,2010,12.9,0.06,NA,NA,0.516666667,0.008819171,0.009058701,0.001363694,8.48,0.10214369,126.12
SRS1d,2011,NA,#DIV/0!,NA,NA,NA,#DIV/0!,0.018084626,0.00274341,44.16,6.587870167,NA
SRS2,2011,38.43,0.711149305,4.9,0.007637626,3.073333333,0.056960025,0.028349814,0.002086776,86.43333333,0.508243161,239.72
SRS3,2011,42.39666667,0.21789396,5.7,0.01766457,3.536666667,0.110503896,0.062581559,0.001464835,86.29,1.120907371,124.97
SRS4,2011,38.69333333,0.436437599,5.036666667,0.031422057,2.696666667,0.023333333,0.059163469,0.004593766,82.77666667,1.875182954,100.79
SRS5,2011,18.71333333,1.80715553,2.116666667,0.049836151,1.143333333,0.101379376,0.05713861,0.000807797,41.32666667,3.166229794,44.25
SRS6,2011,17.97666667,2.448409915,1.833333333,0.074767128,1.3,0.287112057,0.053669741,0.010116192,28.56333333,7.794575749,53.56
TS/Ph1,2011,12.35222222,0.425818747,1.496666667,0.040592322,0.806666667,0.029907264,0.006818067,1.12E-03,9.056666667,0.635618684,261.63
TS/Ph10,2011,12.18,0.065574385,0.276666667,0.021523745,0.743333333,0.189062012,0.001222129,8.35E-05,5.346666667,0.433371793,1344.99
TS/Ph11,2011,12.00666667,0.063595947,0.346666667,0.002421611,0.686666667,0.021858128,0.009807533,0.004633623,5.53,0.225905585,154.82
TS/Ph2,2011,15.22666667,0.080069414,0.67,0.008552669,0.88,0.043588989,0.007435272,0.002797037,11.92,1.841475857,261.72
TS/Ph3,2011,17.19333333,0.637346932,0.786666667,0.032791899,1.093333333,0.082529456,0.004556175,0.001683478,14.28,2.420585329,530.65
TS/Ph4,2011,17.27,1.604171645,0.817777778,0.023898844,1.056666667,0.170310175,0.007127981,1.00E-03,14.19666667,5.375358386,327.81
TS/Ph5,2011,14.95,0.472863617,0.48,0.005357584,0.856666667,0.114066258,0.002137368,6.61E-05,9.17,1.207324867,886.31
TS/Ph6,2011,16.65,1.404190158,1.1625,0.040598068,1.03,0.153731367,0.007983952,0.002541748,17.8475,5.400673376,285.28
TS/Ph7,2011,14.95333333,0.294919951,1.1,0.014561492,0.833333333,0.050442487,0.023826215,0.002361678,81.16333333,61.64465814,77.34
TS/Ph8,2011,16.28333333,0.300240644,1.503333333,0.020555556,1.183333333,0.068394282,0.025930797,0.003069357,25.69333333,2.258836967,100.91
TS/Ph9,2011,12.3,0.091651514,0.443333333,0.011399047,0.66,0.060277138,0.005783582,0.001243965,8.356666667,0.632490667,252.35
SRS1d,2012,29.32666667,5.978699227,2.973333333,0.140976533,2.283333333,0.628658183,0.022066926,0.006300781,55.91333333,15.68295501,228.81
SRS2,2012,43.65666667,0.391975056,5.95,0.01004619,3.8,0.079372539,0.045755481,0.002553544,84.77,0.463609031,183.65
SRS3,2012,44.45666667,0.349205447,5.71,0.028593576,3.81,0.1040833,0.074024992,0.003774158,86.56666667,0.407444611,113.81
SRS4,2012,41.955,0.172747407,5.195,0.01414883,2.705,0.018484228,0.084662267,0.003356124,84.23666667,0.533833099,70.65
SRS5,2012,26.96,1.351825926,3.276666667,0.034215187,1.62,0.141539158,0.08324664,0.010474342,50.31,3.774881897,43.03
SRS6,2012,16.35,0.932148057,1.653333333,0.029207643,0.846666667,0.085699734,0.06126411,0.002446131,25.39,3.102520481,30.56
TS/Ph1,2012,15.192,0.49074954,0.935,0.009302391,0.918,0.049906579,0.000337272,1.71E-04,10.52666667,0.362690563,6018.86
TS/Ph10,2012,12.01,0.04,0.35,0.001924501,0.366666667,0.008819171,0.005764113,4.04E-04,5.16,0.195021366,140.67
TS/Ph11,2012,11.86666667,0.144260567,0.326666667,0.01639595,0.39,0.051961524,0.017885829,0.003836884,4.533333333,0.975915525,48.22
TS/Ph2,2012,14.40333333,0.126666667,0.426666667,0.004937886,0.65,0.015275252,0.00800658,0.003816006,7.846666667,0.072188026,179.52
TS/Ph3,2012,16.16666667,0.762896527,0.75,0.032674035,0.833333333,0.103976493,0.007205142,0.00133214,16.66333333,8.060852588,255.76
TS/Ph4,2012,16.53,1.413244887,0.863333333,0.02908818,0.842222222,0.164238798,0.010608207,1.13E-03,8.933333333,2.115028237,175.56
TS/Ph5,2012,14.54333333,0.101379376,0.353333333,0.008069911,0.63,0.005773503,0.005198205,2.29E-04,6.736666667,0.182239159,268
TS/Ph6,2012,15.15666667,0.802523797,0.586666667,0.021886351,0.62,0.075718778,0.008775302,0.001430105,9.126666667,2.270097893,156.24
TS/Ph7,2012,16.91333333,0.569044033,1.403333333,0.012993351,0.82,0.05033223,0.046885827,0.003045394,21.52,2.332044882,38.67
TS/Ph8,2012,21.51666667,1.622111107,2.386666667,0.040441239,1.32,0.142945211,0.052934402,0.00776167,33.56333333,5.603479078,55.14
TS/Ph9,2012,12.35333333,0.2278401,0.45,0.002545875,0.446666667,0.033333333,0.004128598,0.003531239,7.18,0.094516313,239.24
SRS1d,2013,30.725,4.456354078,2.76,0.051552966,2.365,0.475192943,0.030397723,0.005002398,49.03,11.89796271,172.05
SRS2,2013,45.05666667,0.50853821,3.743333333,0.041748069,3.916666667,0.110503896,0.04556411,0.001025225,88.21666667,3.401814875,190.08
SRS3,2013,45.10666667,0.588906708,3.4,0.006009252,4.016666667,0.080897741,0.061523541,0.011121716,86.40333333,0.287189446,144.37
SRS4,2013,42.44333333,1.502290843,3.47,0.020883273,2.726666667,0.042557151,0.086809142,0.008702917,83.23666667,2.104038445,69.46
SRS5,2013,24.93,2.801291369,3.013333333,0.062289151,1.49,0.188767935,0.074294581,0.007115645,48.58333333,5.450817472,44.35
SRS6,2013,15.29666667,0.462829462,1.49,0.012018504,0.793333333,0.04055175,0.052525403,0.009878521,24.92,0.681469001,33.4
TS/Ph1,2013,14.45333333,0.624775515,0.87,0.011097214,0.863333333,0.084524816,0.000187812,3.31E-05,9.65,1.081865672,10165
TS/Ph10,2013,12.10333333,0.101707642,0.426666667,0.000555556,0.43,0.017320508,0.002806822,2.30E-04,5.29,0.228108161,338.77
TS/Ph11,2013,11.89666667,0.383376809,0.473333333,0.006758625,0.476666667,0.033333333,0.011560103,0.001491605,5.69,0.460325971,91.18
TS/Ph2,2013,14.84,0.260832002,0.606666667,0.010198644,0.696666667,0.026034166,0.004148535,0.00394521,8.436666667,1.204579226,371.35
TS/Ph3,2013,16.27333333,1.043940186,0.863333333,0.032379882,0.863333333,0.119768295,0.006745965,0.001428183,11.64666667,3.199361047,283
TS/Ph4,2013,15.02666667,0.046666667,0.673333333,0.002222222,0.696666667,0.003333333,0.013082406,0.000733252,8.283333333,0.174005108,117.76
TS/Ph5,2013,14.16666667,0.665190031,1,0.045856055,0.676666667,0.028480012,0.003293241,4.55E-04,7.863333333,0.513430727,454.36
TS/Ph6,2013,17.836,3.094311878,1.24,0.042300512,0.806,0.205659913,0.01005146,0.002716196,17.674,8.995164034,177.32
TS/Ph7,2013,15.58,1.086692229,1.086666667,0.02715411,0.776666667,0.08412953,0.04308336,0.003912191,19.29333333,2.657168501,39.86
TS/Ph8,2013,22.97333333,0.234970447,2.593333333,0.002222222,1.503333333,0.034801022,0.057267385,0.002638905,40.26666667,1.205713251,58.05
TS/Ph9,2013,12.46333333,0.173333333,0.493333333,0.003888889,0.483333333,0.018559215,0.00484001,3.59E-04,5.973333333,0.463980364,220.83
SRS1d,2014,25.845,1.682867097,2.8875,0.04723032,1.975,0.291704759,0.036275284,0.009207704,57.11,16.92477819,120.39
SRS2,2014,32.28666667,0.229298447,3.353333333,0.000555556,2.936666667,0.083333333,0.047341244,0.00237561,89.51,0.144337567,137.17
SRS3,2014,39.4,3.265919983,3.263333333,0.011758895,3.26,0.364280112,0.077348961,0.008292382,88.00333333,1.183220652,93.2
SRS4,2014,43.23666667,0.507751033,3.283333333,0.005638273,2.793333333,0.064893074,0.075529853,0.003711536,83.00666667,0.409566166,81.78
SRS5,2014,25.5075,2.486548394,3.0725,0.035711153,1.44,0.155831105,0.074628288,0.00482561,45.89,5.937997698,42.67
SRS6,2014,15.38,0.676609193,1.575,0.016230758,0.785,0.06664583,0.056035165,0.005737979,23.12,2.273415199,30.98
TS/Ph1,2014,15.05333333,0.631831553,0.976666667,0.081957155,0.886666667,0.361954571,0.015996485,0.003675234,10.93,3.46658814,122.57
TS/Ph10,2014,12.15,0.051961524,0.423333333,0.003093202,0.403333333,0.008819171,0.00718992,1.23E-04,6.456666667,0.06385748,124.05
TS/Ph11,2014,11.9,0.126622799,0.266666667,0.011399047,0.34,0.032145503,0.016673429,0.001499724,4.563333333,0.527457213,45.09
TS/Ph2,2014,15.03333333,0.398720175,1.016666667,0.033970757,0.63,0.150996689,0.015209664,0.002415498,9.423333333,1.163462266,91.6
TS/Ph3,2014,21.61666667,1.293900219,1.936666667,0.038131514,1.02,0.225905585,0.013139683,5.86E-04,25.99666667,3.367691263,171.66
TS/Ph4,2014,15.25666667,0.318555769,0.753333333,0.008678055,0.456666667,0.16756425,0.016623871,0.001865023,9.983333333,1.036811351,60.75
TS/Ph5,2014,17.11,0.773843223,1.0125,0.043376681,0.7625,0.145623659,0.006095324,0.001128212,13.4625,2.558529444,276.63
TS/Ph6,2014,15.18666667,0.279364358,0.606666667,0.007777778,0.61,0.13114877,0.008512272,3.45E-04,10.41666667,0.621297925,158.47
TS/Ph7,2014,16.78333333,0.720239158,1.953333333,0.096735289,0.663333333,0.08762293,0.060945045,0.01149426,22.48333333,3.56302462,24.07
TS/Ph8,2014,20.88333333,1.475627927,2.56,0.03192874,1.316666667,0.089876458,0.040530858,0.004867886,32.10333333,3.426564525,71.84
TS/Ph9,2014,12.21,0.951437509,0.416666667,0.003643021,0.41,0.030550505,0.009893216,0.000628813,6.31,0.365011415,91.64
SRS1d,2015,31.2725,5.448624253,1.95,0.023269257,2.445,0.582587619,0.027419303,0.008699901,43.4775,10.97508343,197.19
SRS2,2015,39.07333333,2.384689591,2.2,0.007876359,3.51,0.242487113,0.040249812,0.000967017,85.11333333,0.552036633,192.84
SRS3,2015,41.74666667,2.941798392,2.23,0.02795499,3.696666667,0.238769996,0.0789837,0.001116783,87.48333333,0.269093127,103.5
SRS4,2015,40.33,1.089143394,2.346666667,0.034832049,2.743333333,0.059254629,0.086810202,0.002378366,81.96666667,0.265225271,69.88
SRS5,2015,25.988,2.538273823,2.13,0.00913236,1.562,0.179983333,0.066926321,0.003692275,50.914,5.679021571,51.61
SRS6,2015,15.5325,1.048501907,1.5875,0.022497106,0.8425,0.095775345,0.056858521,0.00747062,24.1,4.080140929,32.77
TS/Ph1,2015,14.44333333,0.602891182,1.103333333,0.017222222,0.883333333,0.028480012,0.012809451,0.004191677,11.12333333,0.613224628,152.49
TS/Ph10,2015,11.9,0.035118846,0.5,0.001666667,0.423333333,0.003333333,0.006690521,3.37E-04,6.15,0.27061658,139.92
TS/Ph11,2015,12.13333333,0.183515061,0.41,0.011824331,0.466666667,0.037118429,0.018082257,0.002723207,4.91,0.894203556,57.07
TS/Ph2,2015,15.70666667,0.258478454,0.93,0.009477068,0.836666667,0.021858128,0.016456693,0.000746469,10.90666667,0.813271856,112.42
TS/Ph3,2015,16.98333333,0.175720738,1.133333333,0.008624541,0.993333333,0.023333333,0.008341861,0.000886593,12.65666667,0.369203347,263.32
TS/Ph4,2015,15.11,0.705478561,0.98,0.006309898,0.723333333,0.056960025,0.013924891,0.002037237,9.07,1.009504829,114.87
TS/Ph5,2015,15.34,0.211266025,0.77,0.005357584,0.776666667,0.029059326,0.004790751,3.64E-04,8.566666667,0.383898135,358.5
TS/Ph6,2015,14.3775,0.79051012,1.0325,0.027058482,0.6575,0.083404137,0.00831154,0.001354005,10.5975,2.808022362,174.93
TS/Ph7,2015,15.33666667,0.256211718,1.513333333,0.008183844,0.776666667,0.017638342,0.034807826,0.00180179,20.23666667,0.791503492,49.34
TS/Ph8,2015,17.29,0.90886376,1.946666667,0.012410171,1.15,0.1,0.042858235,0.004843193,31.42333333,4.656813407,59.34
TS/Ph9,2015,11.78666667,0.101707642,0.453333333,0.003093202,0.4,0.005773503,0.005965809,2.16E-04,5.436666667,0.201190899,148.27
SRS1d,2016,22.76333333,1.312825621,2.23,0.038490018,1.696666667,0.153224599,0.026225145,0.005054349,28.80666667,3.510390925,143.06
SRS2,2016,45.84666667,0.343818428,4.946666667,0.088894097,4.09,0.028867513,0.039423775,0.004448823,83.85333333,0.36987986,229.41
SRS3,2016,47.17666667,0.2514182,4.63,0.093867519,4.146666667,0.177043623,0.075517562,0.001179962,88.43333333,0.405394184,121.42
